,City,Cloud Cover,Humidity,Latitude,Longitude,Temperature,Wind Speed
0,berlevag,92,100,76,30,47.74100000000001,3.58
1,norman wells,40,36,70,-121,46.4,7.2
2,rikitea,12,99,-50,-140,74.47100000000006,6.03
3,san cristobal,92,100,-1,-88,62.681000000000026,0.68
4,aripuana,12,65,-9,-59,84.10100000000008,1.33
5,banda aceh,0,98,2,90,74.47100000000006,1.23
6,punta arenas,75,75,-54,-72,46.4,10.8
7,pacifica,40,63,36,-127,71.78000000000004,11.8
8,basco,64,98,21,125,84.10100000000008,13.68
9,leningradskiy,88,88,68,179,44.681000000000026,4.33
10,saskylakh,0,83,90,112,33.52100000000005,2.23
11,mahebourg,75,88,-28,64,69.80000000000001,3.1
12,khatanga,56,96,81,107,38.29100000000001,5.33
13,busselton,56,100,-76,85,57.281000000000034,10.88
14,east london,0,100,-61,49,64.75100000000009,6.18
15,hithadhoo,80,99,-21,84,84.28100000000003,7.53
16,bambanglipuro,92,94,-17,108,69.88100000000003,1.73
17,aklavik,40,69,70,-141,34.556000000000026,5.7
18,hermanus,32,79,-60,16,51.971000000000046,3.68
19,cape town,75,82,-46,8,57.2,5.1
20,meylan,75,72,45,6,70.75400000000005,3.1
21,saurimo,20,91,-10,19,63.401000000000096,1.43
22,ushuaia,40,80,-61,-52,43.538000000000046,6.7
23,kudahuvadhoo,64,100,3,69,78.34100000000001,4.98
24,sistranda,20,87,66,8,46.4,3.1
25,sheridan,20,2,46,-107,92.39000000000001,8.2
26,broome,40,100,-22,125,71.6,2.1
27,port alfred,0,91,-53,37,61.87100000000005,5.63
28,vaini,75,64,-32,-171,75.2,7.2
29,tilichiki,92,100,59,172,47.83100000000003,2.68
30,turiacu,8,89,-1,-45,80.23100000000002,1.03
31,yellowknife,75,48,77,-111,39.2,4.6
32,cherskiy,20,69,70,164,41.98100000000003,1.98
33,new norfolk,75,55,-55,137,60.8,6.7
34,bristol,1,61,37,-82,78.674,4.6
35,pevek,80,87,69,170,48.55100000000009,2.43
36,petropavlovsk-kamchatskiy,0,66,52,158,51.8,3.0
37,butaritari,88,100,23,174,84.82100000000005,6.13
38,cap malheureux,75,88,-14,58,69.80000000000001,3.1
39,bredasdorp,48,76,-84,23,50.0,2.6
40,faanui,0,100,-11,-152,80.0510000000001,4.38
41,albany,92,67,-80,101,53.05100000000009,10.78
42,saint-philippe,0,59,-33,58,67.15400000000005,3.1
43,roald,92,76,69,2,50.75600000000003,6.2
44,chumikan,92,100,56,134,49.00100000000009,3.93
45,korla,8,88,39,86,38.92100000000005,0.63
46,bambous virieux,75,88,-27,67,69.80000000000001,3.1
47,tual,64,97,-8,134,80.50100000000009,6.58
48,lebu,0,100,-38,-93,51.70100000000009,10.18
49,calvinia,0,73,-31,20,30.73100000000003,1.18
50,bluff,12,89,-56,166,53.861000000000075,11.43
51,puerto ayora,75,69,-26,-101,75.2,6.7
52,teya,80,82,60,92,27.85100000000009,1.23
53,nantucket,75,93,40,-69,66.66800000000009,3.6
54,hilo,75,72,14,-141,72.66200000000006,5.7
55,walvis bay,0,100,-24,9,56.111000000000075,4.23
56,santa rita,0,78,-7,-35,73.4,3.6
57,alofi,92,100,-19,-168,73.3010000000001,9.38
58,arman,40,100,57,148,41.0,2.0
59,cabo san lucas,75,70,20,-112,86.95400000000006,2.6
60,qaanaaq,0,100,74,-87,25.781000000000027,2.53
61,arraial do cabo,20,68,-27,-38,68.0,6.2
62,berbera,44,63,11,47,76.36100000000008,1.23
63,prince rupert,1,44,55,-130,59.0,2.1
64,katsuura,75,94,29,147,72.26600000000002,2.6
65,tiksi,0,94,80,129,36.40100000000009,1.28
66,koslan,92,98,65,50,49.81100000000007,3.03
67,taunggyi,76,96,21,97,67.72100000000006,1.18
68,luderitz,0,89,-26,15,51.52100000000005,6.78
69,fairbanks,75,49,72,-144,60.71000000000008,2.1
70,port hardy,75,67,46,-133,57.2,1.0
71,kapaa,90,93,23,-176,80.78000000000004,8.7
72,barrow,1,57,75,-151,83.46200000000006,2.13
73,victoria,92,88,-6,65,77.0,4.6
74,ponta do sol,92,100,23,-43,76.27100000000004,3.28
75,san andres,75,88,13,-82,78.80000000000001,4.1
